test falsche nummer alle auf 2: dirx
TableStart	Weapon Basic Information																										
ColumnHeadingsStart	FireDlay	Multfire	NearDamg	FarDamag	DmgDisSt	DmgDisEn	DmgDelta	MaxAccry	AccDisSt	AccDisEn	SystCost	UniSpace	ShldPen	ArmrPier	Visual	Type	Level	Weapon#	SizeFudge		m1	m2	Improved	cont	AF	AP	Env
RowHeadingsStart																											
Laser	2.5	1	7	1	4500	7000	6	0.7	4500	7000	5	10	1	1	101	Beam	1	0	1	M1, M2, Improved, Armor Piercing, Autofire, Continuous, Drone	3	7	9	2	7	5	
Mass Driver	2.5	1	14	3	4999	5000	0	0.5	4500	5000	9	15	1	1	111	Mass	1	1	1.1	M1, M2, Improved, Armor Piercing, Autofire	3	7	9		6	4	
Fusion Beam	2.5	1	36	2	4500	7000	29	0.8	4500	7000	20	17	1	1	26	Plasma	20	2	0.8	M1, M2, Improved, Continuous, Enveloping	23	27	29	22			25
Quark Cannon	2	2	10	10	4500	4510	0	0.9	4500	4510	10	7	0.9	1	111	Particle	20	3	1.2	M1, M2, Improved, Continuous	23	27	29	22			
Hard Beam	2.5	1	22	18	4500	10000	2	0.8	4500	10000	10	12	1	1	111	Beam	20	4	1	M1, M2, Improved, Armor Piercing, Autofire, Continuous	23	27	29	22	26	24	
Neutron Blaster	2.5	1	36	32	4500	13000	4	0.9	4500	13000	20	17	0.9	1	5	Particle	40	5	1.2	M1, M2, Improved, Armor Piercing, Continuous	43	47	49	42		44	
Rail Gun	2	3	15	8	5490	5500	0	0.9	4500	5500	17	12	1	1	111	Mass	40	6	1	M1, M2, Improved, Armor Piercing	43	47	49			44	
Hellfire Cannon	2.5	1	70	25	4500	9000	45	0.8	4500	9000	40	19	1	1	111	Plasma	40	7	0.8	M1, M2, Improved, Continuous, Enveloping	43	47	49	42			45
Graviton Beam	2.5	1	45	25	4500	13000	20	0.7	4500	13000	20	17	0.9	1	104	Particle	40	8	1.2	M1, M2, Improved, Armor Piercing, Continuous	43	47	49	42		44	
Phasors	2.5	1	100	80	10000	18000	20	1	10000	18000	42	20	1	1	105	Beam	60	9	1	M1, M2, Improved, Continuous, Autofire, Armor Piercing	63	67	69	62	66	64	
Plasma Cannon	2.5	1	215	20	4500	10000	192	0.8	4500	10000	80	30	1	1	4	Plasma	60	10	0.8	M1, M2, Improved, Continuous, Enveloping	63	67	69	62			65
Lightning Field Generator	2	4	36	36	4500	6500	0	0.9	4500	6500	23	10	0.7	0.7	111	Plasma	60	11	1								
Gauss Cannon	2.5	1	180	9	9999	10000	0	0.5	4500	10000	80	30	1	1	10	Mass	60	12	1	M1, M2, Improved, Armor Piercing, Autofire	63	67	69		66	64	
Dark Energy Beam	2.5	1	100	20	4500	18000	80	0.7	4500	18000	42	20	0.9	1	111	Particle	60	13	1.2	M1, M2, Improved, Armor Piercing, Continuous	63	67	69	62		64	
Disruptor Cannon	2.5	1	200	20	20000	21000	0	0.5	4500	21000	82	40	1	1	111	Mass	79	14	1.1	M1, M2, Improved, Autofire, Armor Piercing	82	86	88		85	83	
Disintegrater Beam	2.5	1	200	23	4500	21000	82	0.9	20000	21000	82	40	1	1	111	Beam	79	15	1	M1, M2, Improved, Armor Piercing, Autofire, Continuous	82	86	88	81	85	83	
Megabolt Cannon	2.5	1	320	20	4500	13000	300	0.7	4500	13000	160	45	1	1	111	Plasma	79	16	0.8	M1, M2, Improved, Continuous, Enveloping	82	86	88	81			84
Tachyon Beam	2.5	1	300	27	5000	13000	204	0.9	4500	13000	160	45	0.9	1	111	Particle	79	17	1.2	M1, M2, Improved, Armor Piercing, Continuous	82	86	88	81		83	
Ion Pulse Cannon	2	4	42	25	4500	10000	25	0.9	4500	10000	27	15	1	0.8	114	Beam	79	18	1	M1, M2, Improved, Autofire	82	86	88			85	
Dark Matter Projector	2.5	1	453	50	20732	24000	0	0.7	4500	24000	250	75	1	1	111	Mass	98	19	1	M1, Armor Piercing, Autofire	98				98	98	
Mauler	4	1	679	1	4500	15000	0	1	15000	15000	320	95	0.5	1	111	Plasma	98	20	0.8	M1	98						
Stellar Converter	8	1	1000	200	4500	28000	0	1	27999	28000	666	460	1	1	111	Beam	98	21	2.5								
Particle Beam	2	1	120	10	4500	16000	39	0.9	4500	16000	33	18	0.1	0.9	7	Particle	20	22	1.2	M1, M2, Improved, Autofire	34	38	42		36		
Death Ray	2	1	357	50	4500	24000	107	0.9	4500	24000	105	45	0.8	0.7	103	Particle	35	23	1.2	M1, M2, Improved	34	38	42				
KhorAh Spinner	4	1	800	20	4500	15000	780	0.5	4500	15000	453	113	0.5	1	111	Mass	98	24	0.8								
Invasion pods	20	2	0	0	0	0	0	1	0	0	250	100	1	1	111	Mass	72	25	1	 							
Antimateriestrahl	2.5	1	155	24	12906	20555.5	90	0.7	12500	20555.5	86	30	0.9	1	106	Beam	38	24	1	M1, M2, Improved 	41	43	48				
Antimaterie Gauss	2	5	60	60	4000	4000	0	0.95	4000	4000	25	15	1	1	16	Mass	48	25	0.9								
Plasma Dampf	4	2	82	82	2499	2500	71	0.95	2499	2500	68	36	0.7	1	3	Plasma	36	26	1								
Schrapnel-Werfer	3	1	55	55	6499	6500	53	0.9	6499	6500	39	29	1	0.9	25	Mass	21	27	1								
Kristallstrahler	2.5	1	118	32	11750	19500	109	0.7	11750	19500	78	26	1	0.7	107	Beam	32	28	0.9	M1, M2	35	44					
Schallfeld-Generator	4	1	15	3	9000	12500	12	0.5	9000	12500	48	33	0.1	1	102	Particle	39	29	1								
Multistrahlen-Gesch@tz	2.5	4	40	4	11000	17500	32	0.7	11000	17500	46	28	1	1	107	Beam	28	30	0.9	Continuous				36			
Gammablitz-Generator	6	1	1100	220	18000	30000	0	0.9	18000	30000	650	520	1	0.9	111	Particle	46	31	1.2								
KOZ	4	1	374	374	8999	9000	324	0.7	8999	9000	148	88	1	0.5	25	Mass	40	32	0.9	M1	46						
Temporal-Verzerrer	2.5	1	256	34	11750	19500	208	0.7	11750	19500	1	1	1	0.1	101	Beam	42	33	1.2								
TableEnd																											
